id,station_name,NO2 Average concentration ,address,latitude,longitude
221,Karl-Marx-Straße,10,"12043 Berlin, Karl-Marx-Str. 38",52.4837517,13.4296765
117,Schildhornstraße,9,"12163 Berlin, Schildhornstr. 76",52.4635838,13.3182612
42,Neukölln,3,"12047 Berlin, Nansenstr. 10",52.4892354,13.4309269583961
282,Karlshorst,3,"10318 Berlin, Johanna-und-Willy-Brauer-Platz",52.48538255,13.5295024107864
27,Marienfelde,2,"12307 Berlin, Schichauweg 60",52.3961667,13.3687865
32,Grunewald,2,"14193 Berlin, Jagen 91",52.49260945,13.2481658884589
190,Leipziger Straße,16,"10117 Berlin, Leipziger Straße 5",52.5101279498417,13.3862211085902
124,Mariendorfer Damm,19,"12099 Berlin, Mariendorfer Damm 148",52.4379694,13.3875696
10,Wedding,4,"13353 Wedding, Amrumer Str. 1.",52.5449927,13.34558005
77,Buch,2,"13125 Berlin, Hobrechtsfelder Chaussee 110",52.6444137,13.4827460917004
144,Silbersteinstraße,19,"12051 Berlin, Silbersteinstr. 5",52.4674246,13.4411624
171,Mitte,3,"10179 Berlin, Brückenstr. 6",52.5135789,13.418481
145,Frohnau,2,"13465 Berlin, Jägerstieg 1",52.6523455847726,13.2967158083735
85,Friedrichshagen,2,"12587 Berlin, Müggelseedamm 307",52.4467585313493,13.6267812357474
174,Frankfurter Allee,11,"10247 Berlin, Frankfurter Allee 86b",52.513939,13.4701178
